Item Number,Item Name,Office #,UPC Code,On Hand,Wholesale Cost 1,Total Wholesale Cost 2,Your Cost 3,Total Your Cost 4,Retail Price 5,Total Retail Price 6,Profit,Wholesale Cost 1 (GBP),Total Wholesale Cost 2 (GBP),Your Cost 3 (GBP),Total Your Cost 4 (GBP),Retail Price 5 (GBP),Total Retail Price 6 (GBP)
400298111592,5599 CAT EYE Aurora Rose Gold 53/19/150,19871.0,888465647134.0,1.0,180.0,180.0,180.0,180.0,460.0,460.0,280.0,135.0,135.0,135.0,135.0,345.0,345.0
400298111554,5599 CAT EYE Lava Orange 55/17/145,19871.0,888465647073.0,1.0,180.0,180.0,180.0,180.0,460.0,460.0,280.0,135.0,135.0,135.0,135.0,345.0,345.0
400298112193,5599 CHASSIS Cosmic Taupe Shiny 52/19/150,19871.0,888465599563.0,1.0,170.0,170.0,170.0,170.0,440.0,440.0,270.0,127.5,127.5,127.5,127.5,330.0,330.0
400298112216,5599 GEOMETRIC Astral Gold 51/21/160,19871.0,888465599679.0,1.0,180.0,180.0,180.0,180.0,460.0,460.0,280.0,135.0,135.0,135.0,135.0,345.0,345.0
400298112209,5599 GEOMETRIC Spheric Blue 51/17/145,19871.0,888465599587.0,1.0,180.0,180.0,180.0,180.0,460.0,460.0,280.0,135.0,135.0,135.0,135.0,345.0,345.0
400298111943,5599 MODIFIED OVAL Nebula Taupe 50/15/145,19871.0,888465599624.0,1.0,180.0,180.0,180.0,180.0,460.0,460.0,280.0,135.0,135.0,135.0,135.0,345.0,345.0
400298111684,5599 OVAL Hydra Azur 49/21/155,19871.0,888465647271.0,1.0,180.0,180.0,180.0,180.0,460.0,460.0,280.0,135.0,135.0,135.0,135.0,345.0,345.0
400298111721,5599 OVAL Interstellar Green 51/19/150,19871.0,888465647349.0,1.0,180.0,180.0,180.0,180.0,460.0,460.0,280.0,135.0,135.0,135.0,135.0,345.0,345.0
404533049909,AD 122 BLACKCRY 49/19/140,19871.0,716736174259.0,1.0,54.95,54.95,54.95,54.95,190.0,190.0,135.05,41.21,41.21,41.21,41.21,142.5,142.5
404533049886,AD 122 HVN 49/19/140,19871.0,716736174235.0,1.0,54.95,54.95,49.95,49.95,190.0,190.0,135.05,41.21,41.21,37.46,37.46,142.5,142.5
411364000016,BLOOM BLUE SPARKLE 47/15/130,19871.0,886453634609.0,2.0,49.99,99.98,49.99,99.98,79.0,158.0,58.019999999999996,37.49,74.98,37.49,74.98,59.25,118.5
411364000023,BLOOM PINK SPARKLE 47/15/130,19871.0,886453634678.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
411364000047,DASH BLACK MATTE 49/15/135,19871.0,886453634784.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
411364000030,DASH GUNMETAL MATTE 49/15/135,19871.0,886453634739.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
411364000085,EMERGE BROWN HORN FADE 48/17/135,19871.0,886453635026.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
411364000108,FLASH BLUE 46/16/130,19871.0,886453635132.0,2.0,49.99,99.98,39.99,79.98,79.0,158.0,58.019999999999996,37.49,74.98,29.99,59.98,59.25,118.5
411364000092,FLASH GUNMETAL 46/16/130,19871.0,886453635088.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
411364000115,GRAD TORTOISE 47/16/135,19871.0,886453635217.0,1.0,49.99,49.99,49.99,49.99,79.0,79.0,29.009999999999998,37.49,37.49,37.49,37.49,59.25,59.25
411364000146,MAX BLUE TRANSPARENT 45/17/125,19871.0,886453635378.0,2.0,49.99,99.98,39.99,79.98,79.0,158.0,58.019999999999996,37.49,74.98,29.99,59.98,59.25,118.5
411364000153,MOVE PURPLE TRANSPARENT/TORTOISE 48/15/130,19871.0,886453635453.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
411364000177,PRIME FUSCHIA TRANSPARENT 46/14/130,19871.0,886453635552.0,2.0,49.99,99.98,39.99,79.98,79.0,158.0,58.019999999999996,37.49,74.98,29.99,59.98,59.25,118.5
411364000184,PRIME TEAL TRANSPARENT/TORTOISE 46/14/130,19871.0,886453635613.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
411364000191,SPRING TEAL PURPLE FADE 47/18/130,19871.0,886453635699.0,1.0,49.99,49.99,49.99,49.99,79.0,79.0,29.009999999999998,37.49,37.49,37.49,37.49,59.25,59.25
411364000214,ZEST BLACK 46/15/125,19871.0,886453635781.0,2.0,49.99,99.98,39.99,79.98,79.0,158.0,58.019999999999996,37.49,74.98,29.99,59.98,59.25,118.5
411364000221,ZEST LILAC MATTE 46/15/125,19871.0,886453635842.0,2.0,49.99,99.98,39.99,79.98,79.0,158.0,58.019999999999996,37.49,74.98,29.99,59.98,59.25,118.5
400056024485,M601 BROWN MATTE 56/17/145,19871.0,886453573878.0,1.0,49.99,49.99,49.99,49.99,79.0,79.0,29.009999999999998,37.49,37.49,37.49,37.49,59.25,59.25
400056024478,M601 PEWTER MATTE 56/17/145,19871.0,886453573830.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
400056024508,M602 BROWN 55/19/145,19871.0,886453573984.0,1.0,49.99,49.99,49.99,49.99,79.0,79.0,29.009999999999998,37.49,37.49,37.49,37.49,59.25,59.25
400056024492,M602 GUNMETAL 55/19/145,19871.0,886453573939.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
400056024515,M603 SILVER 54/16/145,19871.0,886453574059.0,1.0,49.99,49.99,49.99,49.99,79.0,79.0,29.009999999999998,37.49,37.49,37.49,37.49,59.25,59.25
400056024539,M604 BROWN 51/18/145,19871.0,886453574141.0,1.0,49.99,49.99,49.99,49.99,79.0,79.0,29.009999999999998,37.49,37.49,37.49,37.49,59.25,59.25
400056024546,M604 GUNMETAL 51/18/145,19871.0,886453574202.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
400056024553,M605 BROWN 55/17/140,19871.0,886453574257.0,1.0,49.99,49.99,49.99,49.99,79.0,79.0,29.009999999999998,37.49,37.49,37.49,37.49,59.25,59.25
400056024607,M607 BLACK MATTE 48/20/140,19871.0,886453574530.0,1.0,49.99,49.99,39.99,39.99,79.0,79.0,29.009999999999998,37.49,37.49,29.99,29.99,59.25,59.25
400056024591,M607 BROWN MATTE 48/20/140,19871.0,886453574479.0,2.0,49.99,99.98,49.99,99.98,79.0,158.0,58.019999999999996,37.49,74.98,37.49,74.98,59.25,118.5
